         415831 function calls (410937 primitive calls) in 33.015 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.012    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:640(__init__)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/aio/__init__.py:1(<module>)
       28    0.001    0.000    0.011    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:479(_transform_attrs)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_log.py:1(<module>)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1378(start_raylet)
      599    0.000    0.000    0.011    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:713(create_time)
      771    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       27    0.000    0.000    0.011    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:1465(display)
       65    0.000    0.000    0.011    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:682(_function_reduce)
      150    0.002    0.000    0.011    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/signature.py:81(flatten_args)
      599    0.000    0.000    0.010    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:469(create_time)
        1    0.000    0.000    0.010    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_urldispatcher.py:1(<module>)
        3    0.000    0.000    0.010    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:60(pickle_dumps)
      110    0.000    0.000    0.010    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:306(_make_method)
      599    0.001    0.000    0.010    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_common.py:470(wrapper)
        3    0.000    0.000    0.009    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:676(_dynamic_function_reduce)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:1(<module>)
        3    0.004    0.001    0.009    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/function_manager.py:228(export)
        3    0.000    0.000    0.009    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:168(_function_getstate)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_request.py:1(<module>)
        1    0.000    0.000    0.009    0.009 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:193(__init__)
        1    0.000    0.000    0.009    0.009 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:50(__init__)
      139    0.000    0.000    0.009    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:702(Optional)
      599    0.001    0.000    0.009    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:369(_get_kinfo_proc)
     1176    0.004    0.000    0.008    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:168(_type_check)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1198(start_gcs_server)
1226/1126    0.006    0.000    0.008    0.000 {built-in method __new__ of type object at 0x10b7f8fa8}
       61    0.000    0.000    0.008    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:571(_code)
      108    0.001    0.000    0.008    0.000 <frozen posixpath>:397(abspath)
      601    0.008    0.000    0.008    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
    65792    0.008    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:124(<genexpr>)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/usage/usage_lib.py:1(<module>)
      599    0.000    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:684(cmdline)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1128(start_log_monitor)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1314(start_gcs_server)
       26    0.000    0.000    0.007    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:1151(__str__)
      189    0.001    0.000    0.007    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1563(__getitem__)
        1    0.000    0.000    0.007    0.007 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:972(start_log_monitor)
      400    0.002    0.000    0.007    0.000 {ray._raylet.dumps}
