         313219 function calls (308076 primitive calls) in 21.950 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1179    0.004    0.000    0.080    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:168(_type_check)
      139    0.000    0.000    0.080    0.001 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:702(Optional)
        1    0.000    0.000    0.076    0.076 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/__init__.py:1(<module>)
        1    0.000    0.000    0.075    0.075 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/connector.py:1(<module>)
     1280    0.001    0.000    0.074    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:159(_type_convert)
      100    0.000    0.000    0.073    0.001 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:845(__init__)
        1    0.000    0.000    0.072    0.072 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http.py:1(<module>)
        1    0.000    0.000    0.072    0.072 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/connector.py:723(TCPConnector)
      137    0.001    0.000    0.071    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
     1235    0.070    0.000    0.070    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.060    0.060 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/worker.py:1(<module>)
     1440    0.059    0.000    0.059    0.000 {method 'encode' of 'ImagingEncoder' objects}
       30    0.059    0.002    0.059    0.002 {built-in method numpy.array}
        1    0.000    0.000    0.053    0.053 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/_compression.py:1(<module>)
        7    0.002    0.000    0.051    0.007 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:807(__init__)
        6    0.002    0.000    0.049    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:704(start_ray_process)
        7    0.002    0.000    0.048    0.007 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:1789(_execute_child)
        1    0.000    0.000    0.045    0.045 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_parser.py:1(<module>)
      224    0.003    0.000    0.042    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
