         292146 function calls (287096 primitive calls) in 16.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.027    0.027 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_app.py:1(<module>)
      418    0.006    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.001    0.001    0.025    0.025 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1424(start_ray_processes)
      735    0.000    0.000    0.022    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:331(__init__)
      132    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      735    0.002    0.000    0.022    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:334(_init)
      132    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.021    0.021 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:1(<module>)
        1    0.000    0.000    0.021    0.021 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/__init__.py:1(<module>)
        1    0.000    0.000    0.020    0.020 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/helpers.py:1(<module>)
      138    0.000    0.000    0.020    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:298(_compile_and_eval)
      735    0.000    0.000    0.019    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:713(create_time)
        1    0.000    0.000    0.018    0.018 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/_compression.py:1(<module>)
      735    0.000    0.000    0.018    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:469(create_time)
      735    0.001    0.000    0.017    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_common.py:470(wrapper)
       66    0.000    0.000    0.017    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:972(parse)
      735    0.000    0.000    0.016    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:684(cmdline)
   233/66    0.001    0.000    0.016    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:449(_parse_sub)
      110    0.001    0.000    0.016    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:306(_make_method)
      735    0.001    0.000    0.016    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:369(_get_kinfo_proc)
   303/78    0.006    0.000    0.016    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:509(_parse)
        1    0.007    0.007    0.015    0.015 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:124(<listcomp>)
      743    0.015    0.000    0.015    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
      592    0.003    0.000    0.015    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1353(__init__)
      735    0.000    0.000    0.014    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:402(cmdline)
      735    0.014    0.000    0.014    0.000 {built-in method psutil._psutil_osx.proc_cmdline}
       28    0.001    0.000    0.014    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:640(__init__)
      251    0.002    0.000    0.013    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:658(Union)
        6    0.013    0.002    0.013    0.002 {built-in method _posixsubprocess.fork_exec}
      875    0.013    0.000    0.013    0.000 {built-in method posix.stat}
       28    0.001    0.000    0.013    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:479(_transform_attrs)
      809    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.013    0.013 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/aio/__init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/exposition.py:1(<module>)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1229(start_raylet)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1297(start_monitor)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_log.py:1(<module>)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1378(start_raylet)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_middlewares.py:1(<module>)
        1    0.000    0.000    0.010    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1965(start_monitor)
      132    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
